merchant_id,Merch_ID_DE42,merchant_name,MCC_Code,MCC_Desc,merchant_country,merchant_risk_segment,event_date,transaction_count,total_amount,fraud_rate,cnp_rate,chargeback_rate_30d,refund_rate_7d,mcc_mismatch_rate,volume_spike_rate,settlement_account_changes_30d,avg_ip_risk,laundering_risk_score,risk_event_type
M0000024,MID923235498,MERCHANT_00024,4511,"Airlines, Air Carriers",IND,MEDIUM,2025-06-30,68,9880.7,0.19117647058823528,0.39705882352941174,0.1323529411764706,0.16088419604738158,0.014705882352941176,0.014705882352941176,4,20.27794117647059,73.0,chargeback_watch
M0000025,MID367094146,MERCHANT_00025,5812,"Eating Places, Restaurants",IND,LOW,2025-06-30,62,8697.29,0.06451612903225806,0.27419354838709675,0.06451612903225806,0.0510353770120694,0.0,0.03225806451612903,0,19.96451612903226,12.5,normal_monitoring
M0000026,MID300146668,MERCHANT_00026,5732,Electronics Sales,USA,LOW,2025-06-30,68,17710.85,0.14705882352941177,0.3382352941176471,0.014705882352941176,0.1636591333756368,0.04411764705882353,0.0,0,22.764705882352942,15.4,normal_monitoring
M0000027,MID302948810,MERCHANT_00027,4722,Travel Agencies,GBR,LOW,2025-06-30,67,9036.59,0.11940298507462686,0.2835820895522388,0.05970149253731343,0.06356440583633986,0.04477611940298507,0.05970149253731343,0,20.07910447761194,18.5,normal_monitoring
M0000028,MID484530634,MERCHANT_00028,5814,Fast Food Restaurants,GBR,LOW,2025-06-30,86,10871.31,0.09302325581395349,0.26744186046511625,0.06976744186046512,0.10104421959957735,0.023255813953488372,0.023255813953488372,0,20.346511627906978,13.2,normal_monitoring
M0000029,MID839694388,MERCHANT_00029,5814,Fast Food Restaurants,GBR,LOW,2025-06-30,63,7782.66,0.1111111111111111,0.3333333333333333,0.031746031746031744,0.10802346478770881,0.031746031746031744,0.031746031746031744,1,22.55079365079365,24.5,normal_monitoring
M0000030,MID583436167,MERCHANT_00030,5945,"Hobby, Toy, and Game Shops",CAN,LOW,2025-06-30,74,13226.6,0.0945945945945946,0.3918918918918919,0.02702702702702703,0.04090388776272763,0.08108108108108109,0.02702702702702703,0,21.833783783783783,24.8,normal_monitoring
M0000031,MID727270541,MERCHANT_00031,5945,"Hobby, Toy, and Game Shops",USA,LOW,2025-06-30,58,6741.7300000000005,0.15517241379310345,0.3275862068965517,0.06896551724137931,0.1806210720679226,0.0,0.034482758620689655,0,20.356896551724137,22.3,normal_monitoring
M0000032,MID714824196,MERCHANT_00032,5812,"Eating Places, Restaurants",USA,LOW,2025-06-30,77,9427.16,0.12987012987012986,0.3246753246753247,0.06493506493506493,0.17829838717389154,0.03896103896103896,0.03896103896103896,0,21.985714285714288,25.8,normal_monitoring
M0000033,MID837129597,MERCHANT_00033,5999,Miscellaneous Retail Stores,USA,LOW,2025-06-30,76,11312.58,0.14473684210526316,0.4473684210526316,0.06578947368421052,0.14871622034950588,0.07894736842105263,0.0,0,20.076315789473682,25.0,normal_monitoring
M0000034,MID429806509,MERCHANT_00034,5945,"Hobby, Toy, and Game Shops",AUS,MEDIUM,2025-06-30,74,7771.41,0.0945945945945946,0.35135135135135137,0.04054054054054054,0.09823433739517963,0.013513513513513514,0.05405405405405406,2,21.294594594594592,39.9,normal_monitoring
M0000035,MID318650692,MERCHANT_00035,5732,Electronics Sales,BRA,LOW,2025-06-30,67,9064.71,0.1791044776119403,0.3283582089552239,0.08955223880597014,0.23884969051693464,0.014925373134328358,0.029850746268656716,1,26.8044776119403,32.7,chargeback_watch
M0000036,MID136750656,MERCHANT_00036,5814,Fast Food Restaurants,USA,LOW,2025-06-30,67,10630.460000000001,0.08955223880597014,0.34328358208955223,0.07462686567164178,0.07990962530829057,0.04477611940298507,0.04477611940298507,0,22.82686567164179,19.7,normal_monitoring
M0000037,MID584309589,MERCHANT_00037,7994,Video Game Arcades,ARE,LOW,2025-06-30,61,7736.67,0.21311475409836064,0.4098360655737705,0.08196721311475409,0.29249980507009204,0.03278688524590164,0.01639344262295082,2,27.698360655737705,55.7,chargeback_watch
M0000038,MID733060463,MERCHANT_00038,5411,"Grocery Stores, Supermarkets",GBR,LOW,2025-06-30,54,10085.91,0.12962962962962962,0.37037037037037035,0.05555555555555555,0.10182137603494486,0.018518518518518517,0.07407407407407407,0,22.11851851851852,19.3,normal_monitoring
M0000039,MID444111200,MERCHANT_00039,5094,"Jewelry, Watches, Silverware",CAN,LOW,2025-06-30,82,13492.26,0.0975609756097561,0.36585365853658536,0.04878048780487805,0.10565156026505004,0.012195121951219513,0.12195121951219512,0,21.802439024390242,18.5,normal_monitoring
M0000040,MID284469592,MERCHANT_00040,5812,"Eating Places, Restaurants",NGA,LOW,2025-06-30,52,7629.74,0.21153846153846154,0.36538461538461536,0.0,0.18856745168304018,0.07692307692307693,0.0,1,25.47307692307692,32.3,normal_monitoring
M0000041,MID187536810,MERCHANT_00041,5945,"Hobby, Toy, and Game Shops",ARE,LOW,2025-06-30,58,12607.41,0.25862068965517243,0.39655172413793105,0.06896551724137931,0.28365664652054423,0.0,0.0,1,26.567241379310346,38.3,normal_monitoring
M0000042,MID242005245,MERCHANT_00042,5411,"Grocery Stores, Supermarkets",GBR,LOW,2025-06-30,49,5000.23,0.02040816326530612,0.3469387755102041,0.04081632653061224,0.01989778795601265,0.061224489795918366,0.02040816326530612,0,19.85918367346939,2.2,normal_monitoring
M0000043,MID739475485,MERCHANT_00043,5732,Electronics Sales,IND,LOW,2025-06-30,65,6884.05,0.15384615384615385,0.26153846153846155,0.1076923076923077,0.21174702856858948,0.03076923076923077,0.046153846153846156,0,21.089230769230767,25.9,chargeback_watch
M0000044,MID542038869,MERCHANT_00044,5411,"Grocery Stores, Supermarkets",GBR,LOW,2025-06-30,58,10037.8,0.15517241379310345,0.29310344827586204,0.08620689655172414,0.2042296100450549,0.034482758620689655,0.034482758620689655,0,21.43103448275862,23.3,chargeback_watch
M0000045,MID120431892,MERCHANT_00045,5814,Fast Food Restaurants,GBR,LOW,2025-06-30,73,7999.34,0.1232876712328767,0.2465753424657534,0.0410958904109589,0.14459647174972076,0.0273972602739726,0.0136986301369863,0,21.015068493150682,19.7,normal_monitoring
M0000046,MID473447957,MERCHANT_00046,6011,Automated Cash Disbursements,CAN,LOW,2025-06-30,60,9298.699999999999,0.11666666666666667,0.36666666666666664,0.05,0.15677542193682675,0.016666666666666666,0.05,0,19.938333333333333,17.1,normal_monitoring
M0000047,MID395832479,MERCHANT_00047,5411,"Grocery Stores, Supermarkets",SGP,MEDIUM,2025-06-30,62,5964.8,0.0967741935483871,0.3064516129032258,0.06451612903225806,0.07014877734245867,0.03225806451612903,0.04838709677419355,4,20.246774193548386,65.9,normal_monitoring
M0000048,MID379404517,MERCHANT_00048,5814,Fast Food Restaurants,ESP,LOW,2025-06-30,72,8275.52,0.09722222222222222,0.375,0.06944444444444445,0.0952618444452213,0.027777777777777776,0.041666666666666664,0,20.15277777777778,15.4,normal_monitoring
M0000049,MID125590903,MERCHANT_00049,4829,Wire Transfer Money Orders,USA,LOW,2025-06-30,76,10233.119999999999,0.06578947368421052,0.34210526315789475,0.039473684210526314,0.04960926352675866,0.02631578947368421,0.05263157894736842,0,20.224999999999998,8.8,normal_monitoring
M0000050,MID504825873,MERCHANT_00050,4722,Travel Agencies,USA,MEDIUM,2025-06-30,69,8658.57,0.11594202898550725,0.3188405797101449,0.057971014492753624,0.09667654677509227,0.057971014492753624,0.043478260869565216,2,24.423188405797102,45.8,normal_monitoring
M0000051,MID181304355,MERCHANT_00051,6051,Non-Financial Institutions - Currency Dealers,IND,LOW,2025-06-30,72,12665.720000000001,0.18055555555555555,0.3888888888888889,0.06944444444444445,0.1821939628522078,0.0,0.027777777777777776,0,20.369444444444444,18.9,normal_monitoring
M0000052,MID494022044,MERCHANT_00052,4829,Wire Transfer Money Orders,GBR,LOW,2025-06-30,73,9601.78,0.1232876712328767,0.2465753424657534,0.0410958904109589,0.1545758276839115,0.0273972602739726,0.0410958904109589,2,22.017808219178082,38.4,normal_monitoring
M0000053,MID176880513,MERCHANT_00053,5814,Fast Food Restaurants,CAN,LOW,2025-06-30,65,10552.1,0.1076923076923077,0.2923076923076923,0.046153846153846156,0.14220313881583763,0.06153846153846154,0.03076923076923077,0,21.441538461538464,12.8,normal_monitoring
M0000054,MID290475949,MERCHANT_00054,4511,"Airlines, Air Carriers",GBR,LOW,2025-06-30,81,7266.46,0.12345679012345678,0.32098765432098764,0.024691358024691357,0.10730671919235549,0.04938271604938271,0.0,0,23.066666666666666,15.4,normal_monitoring
M0000055,MID268013719,MERCHANT_00055,5814,Fast Food Restaurants,GBR,LOW,2025-06-30,49,6434.94,0.061224489795918366,0.42857142857142855,0.061224489795918366,0.06548463491828874,0.0,0.02040816326530612,1,19.49591836734694,21.7,normal_monitoring
M0000056,MID310512039,MERCHANT_00056,4511,"Airlines, Air Carriers",GBR,LOW,2025-06-30,68,7997.37,0.10294117647058823,0.29411764705882354,0.04411764705882353,0.06907725664906161,0.014705882352941176,0.058823529411764705,0,22.21764705882353,26.1,normal_monitoring
M0000057,MID890148583,MERCHANT_00057,5732,Electronics Sales,GBR,LOW,2025-06-30,58,11111.46,0.08620689655172414,0.41379310344827586,0.05172413793103448,0.0926456553655895,0.06896551724137931,0.034482758620689655,2,22.72241379310345,31.0,normal_monitoring
M0000058,MID544829838,MERCHANT_00058,5999,Miscellaneous Retail Stores,AUS,LOW,2025-06-30,72,6289.29,0.1111111111111111,0.3611111111111111,0.05555555555555555,0.1329215680253156,0.013888888888888888,0.027777777777777776,0,20.397222222222222,12.7,normal_monitoring
M0000059,MID790439985,MERCHANT_00059,5812,"Eating Places, Restaurants",CAN,MEDIUM,2025-06-30,73,7757.7,0.1095890410958904,0.3287671232876712,0.0821917808219178,0.1489145355011393,0.0273972602739726,0.0273972602739726,2,21.667123287671235,42.6,chargeback_watch
M0000060,MID740140056,MERCHANT_00060,5411,"Grocery Stores, Supermarkets",GBR,LOW,2025-06-30,69,7839.31,0.14492753623188406,0.36231884057971014,0.043478260869565216,0.12607978762104688,0.028985507246376812,0.057971014492753624,1,20.8231884057971,24.6,normal_monitoring
M0000061,MID549365680,MERCHANT_00061,4829,Wire Transfer Money Orders,USA,LOW,2025-06-30,65,8374.1,0.09230769230769231,0.4,0.06153846153846154,0.14558422615502709,0.07692307692307693,0.06153846153846154,0,20.41846153846154,16.1,normal_monitoring
M0000062,MID474242390,MERCHANT_00062,4511,"Airlines, Air Carriers",CAN,LOW,2025-06-30,66,8358.47,0.13636363636363635,0.4090909090909091,0.12121212121212122,0.1323507086926299,0.045454545454545456,0.045454545454545456,1,22.265151515151516,32.3,chargeback_watch
M0000063,MID238290584,MERCHANT_00063,5814,Fast Food Restaurants,GBR,LOW,2025-06-30,63,7137.64,0.031746031746031744,0.36507936507936506,0.015873015873015872,0.03209352893740026,0.047619047619047616,0.06349206349206349,0,19.312698412698413,7.5,normal_monitoring
M0000064,MID695156918,MERCHANT_00064,5999,Miscellaneous Retail Stores,IND,LOW,2025-06-30,64,5467.02,0.09375,0.296875,0.078125,0.13312579637636368,0.015625,0.015625,0,21.34375,16.5,normal_monitoring
M0000065,MID429224140,MERCHANT_00065,5732,Electronics Sales,USA,LOW,2025-06-30,54,6841.320000000001,0.07407407407407407,0.18518518518518517,0.018518518518518517,0.09842951973528706,0.0,0.037037037037037035,0,22.21666666666667,8.2,normal_monitoring
M0000066,MID429003635,MERCHANT_00066,4511,"Airlines, Air Carriers",IND,MEDIUM,2025-06-30,64,6591.38,0.09375,0.34375,0.078125,0.11661414665698694,0.0,0.046875,1,20.06875,35.7,normal_monitoring
M0000067,MID269899795,MERCHANT_00067,4829,Wire Transfer Money Orders,ARE,LOW,2025-06-30,76,10795.39,0.21052631578947367,0.34210526315789475,0.09210526315789473,0.2339786300723269,0.039473684210526314,0.039473684210526314,4,26.45,60.1,chargeback_watch
M0000068,MID992268314,MERCHANT_00068,5999,Miscellaneous Retail Stores,IND,LOW,2025-06-30,69,12141.05,0.10144927536231885,0.3188405797101449,0.10144927536231885,0.1479691928093042,0.043478260869565216,0.028985507246376812,0,20.405797101449274,21.9,chargeback_watch
M0000069,MID436051484,MERCHANT_00069,5094,"Jewelry, Watches, Silverware",ARE,LOW,2025-06-30,59,9255.75,0.2033898305084746,0.3898305084745763,0.11864406779661017,0.0957382452424727,0.01694915254237288,0.05084745762711865,1,26.540677966101697,37.3,chargeback_watch
M0000070,MID210602317,MERCHANT_00070,5732,Electronics Sales,GBR,LOW,2025-06-30,71,9741.33,0.04225352112676056,0.352112676056338,0.08450704225352113,0.05217779130069177,0.04225352112676056,0.014084507042253521,0,20.13661971830986,12.7,chargeback_watch
M0000071,MID625915716,MERCHANT_00071,5814,Fast Food Restaurants,ESP,LOW,2025-06-30,50,5840.15,0.18,0.38,0.08,0.13846098190803177,0.02,0.02,0,22.25,23.7,normal_monitoring
M0000072,MID345853438,MERCHANT_00072,4511,"Airlines, Air Carriers",GBR,MEDIUM,2025-06-30,85,11135.97,0.16470588235294117,0.3411764705882353,0.07058823529411765,0.12839259568704425,0.03529411764705882,0.023529411764705882,5,21.638823529411763,84.7,merchant_laundering_watch
M0000073,MID817764017,MERCHANT_00073,5732,Electronics Sales,USA,LOW,2025-06-30,65,7992.74,0.1076923076923077,0.35384615384615387,0.046153846153846156,0.08087595904641197,0.046153846153846156,0.06153846153846154,1,20.98769230769231,22.6,normal_monitoring
M0000074,MID974374204,MERCHANT_00074,5999,Miscellaneous Retail Stores,GBR,LOW,2025-06-30,63,8433.73,0.14285714285714285,0.3492063492063492,0.1111111111111111,0.18349677715844356,0.031746031746031744,0.015873015873015872,0,21.166666666666668,22.7,chargeback_watch
M0000075,MID172589534,MERCHANT_00075,5945,"Hobby, Toy, and Game Shops",USA,LOW,2025-06-30,77,11303.88,0.12987012987012986,0.37662337662337664,0.1038961038961039,0.12050932663476625,0.05194805194805195,0.06493506493506493,1,20.324675324675326,27.2,chargeback_watch
M0000076,MID409550463,MERCHANT_00076,5311,Department Stores,USA,LOW,2025-06-30,62,8852.4,0.16129032258064516,0.3064516129032258,0.04838709677419355,0.18098793901805013,0.04838709677419355,0.04838709677419355,0,19.479032258064517,26.6,normal_monitoring
M0000077,MID894388303,MERCHANT_00077,5732,Electronics Sales,CAN,MEDIUM,2025-06-30,71,7722.73,0.09859154929577464,0.3380281690140845,0.04225352112676056,0.11096454263866545,0.014084507042253521,0.04225352112676056,1,19.243661971830985,31.6,normal_monitoring
M0000078,MID359254244,MERCHANT_00078,4829,Wire Transfer Money Orders,USA,LOW,2025-06-30,52,16527.28,0.1346153846153846,0.28846153846153844,0.057692307692307696,0.10634300199785589,0.019230769230769232,0.019230769230769232,0,22.440384615384616,13.9,normal_monitoring
M0000079,MID737265016,MERCHANT_00079,5812,"Eating Places, Restaurants",ARE,LOW,2025-06-30,79,9787.34,0.22784810126582278,0.21518987341772153,0.08860759493670886,0.13670285444564004,0.0,0.05063291139240506,1,26.730379746835442,38.2,chargeback_watch
M0000080,MID905796800,MERCHANT_00080,5814,Fast Food Restaurants,IND,LOW,2025-06-30,69,10603.55,0.10144927536231885,0.2608695652173913,0.07246376811594203,0.0804882861715081,0.07246376811594203,0.07246376811594203,0,19.77536231884058,24.9,normal_monitoring
M0000081,MID629078156,MERCHANT_00081,4511,"Airlines, Air Carriers",GBR,HIGH,2025-06-30,92,34046.89,0.358695652173913,0.42391304347826086,0.07608695652173914,0.29274081559197024,0.15217391304347827,0.11956521739130435,3,22.37391304347826,100.0,merchant_laundering_watch
M0000082,MID849491924,MERCHANT_00082,7994,Video Game Arcades,CAN,LOW,2025-06-30,73,13000.04,0.1232876712328767,0.3835616438356164,0.0821917808219178,0.10976701158301973,0.0547945205479452,0.0547945205479452,1,21.536986301369865,26.6,chargeback_watch
M0000083,MID259123539,MERCHANT_00083,4511,"Airlines, Air Carriers",AUS,LOW,2025-06-30,77,8491.54,0.09090909090909091,0.3116883116883117,0.05194805194805195,0.07959272014784294,0.012987012987012988,0.05194805194805195,0,20.48961038961039,13.1,normal_monitoring
M0000084,MID194589602,MERCHANT_00084,4722,Travel Agencies,GBR,MEDIUM,2025-06-30,80,14851.5,0.2,0.4,0.1,0.2242460014746452,0.0125,0.0375,4,21.330000000000002,66.0,chargeback_watch
M0000085,MID672032816,MERCHANT_00085,5999,Miscellaneous Retail Stores,AUS,LOW,2025-06-30,69,6628.91,0.15942028985507245,0.30434782608695654,0.14492753623188406,0.10142616344977973,0.014492753623188406,0.043478260869565216,0,21.53913043478261,26.7,chargeback_watch
M0000086,MID506574009,MERCHANT_00086,5411,"Grocery Stores, Supermarkets",GBR,LOW,2025-06-30,66,8700.72,0.10606060606060606,0.3484848484848485,0.09090909090909091,0.09802962060447622,0.015151515151515152,0.045454545454545456,0,20.3,13.6,chargeback_watch
M0000087,MID959642571,MERCHANT_00087,5945,"Hobby, Toy, and Game Shops",USA,MEDIUM,2025-06-30,74,8848.81,0.12162162162162163,0.3108108108108108,0.04054054054054054,0.13353770233533654,0.013513513513513514,0.02702702702702703,2,20.38918918918919,51.0,normal_monitoring
M0000088,MID435474657,MERCHANT_00088,5814,Fast Food Restaurants,GBR,LOW,2025-06-30,72,12956.26,0.1111111111111111,0.4722222222222222,0.06944444444444445,0.05720605871382834,0.041666666666666664,0.041666666666666664,0,20.241666666666667,25.7,normal_monitoring
M0000089,MID539701444,MERCHANT_00089,5411,"Grocery Stores, Supermarkets",GBR,MEDIUM,2025-06-30,60,10168.75,0.1,0.31666666666666665,0.06666666666666667,0.11757276367515418,0.05,0.05,1,21.548333333333336,37.5,normal_monitoring
M0000090,MID340064167,MERCHANT_00090,5999,Miscellaneous Retail Stores,IND,LOW,2025-06-30,70,9421.14,0.11428571428571428,0.2714285714285714,0.08571428571428572,0.12590675761672335,0.02857142857142857,0.014285714285714285,0,21.591428571428573,21.1,chargeback_watch
M0000091,MID261064713,MERCHANT_00091,5814,Fast Food Restaurants,USA,LOW,2025-06-30,65,9782.28,0.1076923076923077,0.3230769230769231,0.03076923076923077,0.16804455705472338,0.06153846153846154,0.0,0,20.404615384615383,15.4,normal_monitoring
M0000092,MID457376809,MERCHANT_00092,5732,Electronics Sales,GBR,LOW,2025-06-30,66,8419.11,0.09090909090909091,0.2727272727272727,0.12121212121212122,0.10966646332440955,0.015151515151515152,0.07575757575757576,0,19.918181818181818,24.8,chargeback_watch
M0000093,MID811156706,MERCHANT_00093,5814,Fast Food Restaurants,GBR,LOW,2025-06-30,66,5431.41,0.19696969696969696,0.3181818181818182,0.07575757575757576,0.1998183701181348,0.0,0.015151515151515152,4,25.162121212121214,55.5,normal_monitoring
M0000094,MID966803400,MERCHANT_00094,5094,"Jewelry, Watches, Silverware",BRA,LOW,2025-06-30,62,10480.24,0.1774193548387097,0.3064516129032258,0.08064516129032258,0.14847168978235256,0.0,0.04838709677419355,0,25.07903225806452,27.8,chargeback_watch
M0000095,MID930324055,MERCHANT_00095,7994,Video Game Arcades,IND,LOW,2025-06-30,72,8541.77,0.1388888888888889,0.4027777777777778,0.125,0.14104238700401736,0.013888888888888888,0.05555555555555555,0,21.569444444444443,21.1,chargeback_watch
M0000096,MID739261082,MERCHANT_00096,4829,Wire Transfer Money Orders,FRA,LOW,2025-06-30,82,10017.630000000001,0.12195121951219512,0.2926829268292683,0.08536585365853659,0.13779707562091342,0.024390243902439025,0.036585365853658534,0,20.867073170731707,18.9,chargeback_watch
M0000097,MID162168756,MERCHANT_00097,5411,"Grocery Stores, Supermarkets",IND,MEDIUM,2025-06-30,66,7346.8,0.09090909090909091,0.30303030303030304,0.015151515151515152,0.08751372395222792,0.045454545454545456,0.030303030303030304,3,20.384848484848487,40.8,normal_monitoring
M0000098,MID151338528,MERCHANT_00098,5732,Electronics Sales,GBR,LOW,2025-06-30,64,7429.94,0.125,0.34375,0.03125,0.1834406100630269,0.0,0.109375,0,19.8546875,7.8,normal_monitoring
M0000099,MID865218411,MERCHANT_00099,4829,Wire Transfer Money Orders,IND,LOW,2025-06-30,49,8174.11,0.14285714285714285,0.40816326530612246,0.04081632653061224,0.07702799928528892,0.04081632653061224,0.0,0,22.84285714285714,16.8,normal_monitoring
M0000100,MID629118763,MERCHANT_00100,5814,Fast Food Restaurants,GBR,LOW,2025-06-30,55,9326.619999999999,0.16363636363636364,0.2545454545454545,0.03636363636363636,0.11686624923444897,0.03636363636363636,0.01818181818181818,0,21.4,25.3,normal_monitoring
M0000101,MID432335959,MERCHANT_00101,4722,Travel Agencies,CAN,LOW,2025-06-30,69,9309.02,0.14492753623188406,0.34782608695652173,0.043478260869565216,0.15086749073403663,0.014492753623188406,0.057971014492753624,0,21.757971014492753,21.1,normal_monitoring
M0000102,MID279476698,MERCHANT_00102,5094,"Jewelry, Watches, Silverware",USA,LOW,2025-06-30,81,9449.11,0.14814814814814814,0.4567901234567901,0.07407407407407407,0.10513795332867679,0.024691358024691357,0.08641975308641975,0,21.349382716049384,24.7,normal_monitoring
