merchant_id,Merch_ID_DE42,merchant_name,MCC_Code,merchant_country,merchant_onboard_date,merchant_risk_segment,MCC_Desc
M0000035,MID318650692,MERCHANT_00035,5732,BRA,2021-10-30,LOW,Electronics Sales
M0000036,MID136750656,MERCHANT_00036,5814,USA,2024-07-01,LOW,Fast Food Restaurants
M0000037,MID584309589,MERCHANT_00037,7994,ARE,2021-10-08,LOW,Video Game Arcades
M0000038,MID733060463,MERCHANT_00038,5411,GBR,2021-10-27,LOW,"Grocery Stores, Supermarkets"
M0000039,MID444111200,MERCHANT_00039,5094,CAN,2021-07-14,LOW,"Jewelry, Watches, Silverware"
M0000040,MID284469592,MERCHANT_00040,5812,NGA,2024-04-07,LOW,"Eating Places, Restaurants"
M0000041,MID187536810,MERCHANT_00041,5945,ARE,2024-08-10,LOW,"Hobby, Toy, and Game Shops"
M0000042,MID242005245,MERCHANT_00042,5411,GBR,2021-01-05,LOW,"Grocery Stores, Supermarkets"
M0000043,MID739475485,MERCHANT_00043,5732,IND,2023-08-15,LOW,Electronics Sales
M0000044,MID542038869,MERCHANT_00044,5411,GBR,2021-04-18,LOW,"Grocery Stores, Supermarkets"
M0000045,MID120431892,MERCHANT_00045,5814,GBR,2024-08-05,LOW,Fast Food Restaurants
M0000046,MID473447957,MERCHANT_00046,6011,CAN,2024-07-31,LOW,Automated Cash Disbursements
M0000047,MID395832479,MERCHANT_00047,5411,SGP,2022-09-23,MEDIUM,"Grocery Stores, Supermarkets"
M0000048,MID379404517,MERCHANT_00048,5814,ESP,2022-09-20,LOW,Fast Food Restaurants
M0000049,MID125590903,MERCHANT_00049,4829,USA,2022-11-06,LOW,Wire Transfer Money Orders
M0000050,MID504825873,MERCHANT_00050,4722,USA,2022-07-09,MEDIUM,Travel Agencies
M0000051,MID181304355,MERCHANT_00051,6051,IND,2024-07-22,LOW,Non-Financial Institutions - Currency Dealers
M0000052,MID494022044,MERCHANT_00052,4829,GBR,2024-08-08,LOW,Wire Transfer Money Orders
M0000053,MID176880513,MERCHANT_00053,5814,CAN,2022-09-11,LOW,Fast Food Restaurants
M0000054,MID290475949,MERCHANT_00054,4511,GBR,2021-03-20,LOW,"Airlines, Air Carriers"
M0000055,MID268013719,MERCHANT_00055,5814,GBR,2021-03-23,LOW,Fast Food Restaurants
M0000056,MID310512039,MERCHANT_00056,4511,GBR,2023-09-06,LOW,"Airlines, Air Carriers"
M0000057,MID890148583,MERCHANT_00057,5732,GBR,2023-10-18,LOW,Electronics Sales
M0000058,MID544829838,MERCHANT_00058,5999,AUS,2024-08-27,LOW,Miscellaneous Retail Stores
M0000059,MID790439985,MERCHANT_00059,5812,CAN,2021-11-11,MEDIUM,"Eating Places, Restaurants"
M0000060,MID740140056,MERCHANT_00060,5411,GBR,2021-01-30,LOW,"Grocery Stores, Supermarkets"
M0000061,MID549365680,MERCHANT_00061,4829,USA,2024-03-09,LOW,Wire Transfer Money Orders
M0000062,MID474242390,MERCHANT_00062,4511,CAN,2024-02-08,LOW,"Airlines, Air Carriers"
M0000063,MID238290584,MERCHANT_00063,5814,GBR,2024-08-17,LOW,Fast Food Restaurants
M0000064,MID695156918,MERCHANT_00064,5999,IND,2023-06-20,LOW,Miscellaneous Retail Stores
M0000065,MID429224140,MERCHANT_00065,5732,USA,2022-02-24,LOW,Electronics Sales
M0000066,MID429003635,MERCHANT_00066,4511,IND,2022-11-25,MEDIUM,"Airlines, Air Carriers"
M0000067,MID269899795,MERCHANT_00067,4829,ARE,2021-11-23,LOW,Wire Transfer Money Orders
M0000068,MID992268314,MERCHANT_00068,5999,IND,2023-11-15,LOW,Miscellaneous Retail Stores
M0000069,MID436051484,MERCHANT_00069,5094,ARE,2021-10-31,LOW,"Jewelry, Watches, Silverware"
M0000070,MID210602317,MERCHANT_00070,5732,GBR,2021-06-27,LOW,Electronics Sales
M0000071,MID625915716,MERCHANT_00071,5814,ESP,2024-10-01,LOW,Fast Food Restaurants
M0000072,MID345853438,MERCHANT_00072,4511,GBR,2022-10-31,MEDIUM,"Airlines, Air Carriers"
M0000073,MID817764017,MERCHANT_00073,5732,USA,2021-08-17,LOW,Electronics Sales
M0000074,MID974374204,MERCHANT_00074,5999,GBR,2022-08-04,LOW,Miscellaneous Retail Stores
M0000075,MID172589534,MERCHANT_00075,5945,USA,2023-08-03,LOW,"Hobby, Toy, and Game Shops"
M0000076,MID409550463,MERCHANT_00076,5311,USA,2022-03-01,LOW,Department Stores
M0000077,MID894388303,MERCHANT_00077,5732,CAN,2021-12-22,MEDIUM,Electronics Sales
M0000078,MID359254244,MERCHANT_00078,4829,USA,2021-02-18,LOW,Wire Transfer Money Orders
M0000079,MID737265016,MERCHANT_00079,5812,ARE,2021-06-28,LOW,"Eating Places, Restaurants"
M0000080,MID905796800,MERCHANT_00080,5814,IND,2021-11-30,LOW,Fast Food Restaurants
M0000081,MID629078156,MERCHANT_00081,4511,GBR,2023-11-28,HIGH,"Airlines, Air Carriers"
M0000082,MID849491924,MERCHANT_00082,7994,CAN,2024-03-10,LOW,Video Game Arcades
M0000083,MID259123539,MERCHANT_00083,4511,AUS,2024-08-21,LOW,"Airlines, Air Carriers"
M0000084,MID194589602,MERCHANT_00084,4722,GBR,2021-11-27,MEDIUM,Travel Agencies
M0000085,MID672032816,MERCHANT_00085,5999,AUS,2023-07-03,LOW,Miscellaneous Retail Stores
M0000086,MID506574009,MERCHANT_00086,5411,GBR,2022-09-10,LOW,"Grocery Stores, Supermarkets"
M0000087,MID959642571,MERCHANT_00087,5945,USA,2024-03-14,MEDIUM,"Hobby, Toy, and Game Shops"
M0000088,MID435474657,MERCHANT_00088,5814,GBR,2021-05-04,LOW,Fast Food Restaurants
M0000089,MID539701444,MERCHANT_00089,5411,GBR,2021-09-09,MEDIUM,"Grocery Stores, Supermarkets"
M0000090,MID340064167,MERCHANT_00090,5999,IND,2021-02-15,LOW,Miscellaneous Retail Stores
M0000091,MID261064713,MERCHANT_00091,5814,USA,2022-08-06,LOW,Fast Food Restaurants
M0000092,MID457376809,MERCHANT_00092,5732,GBR,2021-03-01,LOW,Electronics Sales
M0000093,MID811156706,MERCHANT_00093,5814,GBR,2023-02-24,LOW,Fast Food Restaurants
M0000094,MID966803400,MERCHANT_00094,5094,BRA,2022-05-23,LOW,"Jewelry, Watches, Silverware"
M0000095,MID930324055,MERCHANT_00095,7994,IND,2021-11-21,LOW,Video Game Arcades
M0000096,MID739261082,MERCHANT_00096,4829,FRA,2022-01-11,LOW,Wire Transfer Money Orders
M0000097,MID162168756,MERCHANT_00097,5411,IND,2021-12-30,MEDIUM,"Grocery Stores, Supermarkets"
M0000098,MID151338528,MERCHANT_00098,5732,GBR,2023-05-02,LOW,Electronics Sales
M0000099,MID865218411,MERCHANT_00099,4829,IND,2021-11-25,LOW,Wire Transfer Money Orders
M0000100,MID629118763,MERCHANT_00100,5814,GBR,2021-08-11,LOW,Fast Food Restaurants
M0000101,MID432335959,MERCHANT_00101,4722,CAN,2023-10-12,LOW,Travel Agencies
M0000102,MID279476698,MERCHANT_00102,5094,USA,2024-11-08,LOW,"Jewelry, Watches, Silverware"
M0000103,MID870363459,MERCHANT_00103,5945,ARE,2021-04-27,LOW,"Hobby, Toy, and Game Shops"
M0000104,MID731121829,MERCHANT_00104,5411,USA,2022-12-31,MEDIUM,"Grocery Stores, Supermarkets"
M0000105,MID635151727,MERCHANT_00105,5814,FRA,2024-09-25,LOW,Fast Food Restaurants
M0000106,MID374372576,MERCHANT_00106,5411,GBR,2021-06-12,LOW,"Grocery Stores, Supermarkets"
M0000107,MID745472522,MERCHANT_00107,5814,GBR,2024-09-16,LOW,Fast Food Restaurants
M0000108,MID908328148,MERCHANT_00108,4722,GBR,2021-02-23,LOW,Travel Agencies
M0000109,MID897768776,MERCHANT_00109,5732,BRA,2022-04-22,LOW,Electronics Sales
M0000110,MID250210175,MERCHANT_00110,4722,GBR,2021-07-09,MEDIUM,Travel Agencies
M0000111,MID404476287,MERCHANT_00111,5094,ARE,2024-02-17,LOW,"Jewelry, Watches, Silverware"
M0000112,MID826234120,MERCHANT_00112,5094,DEU,2024-11-22,LOW,"Jewelry, Watches, Silverware"
M0000113,MID277663567,MERCHANT_00113,4722,USA,2023-10-30,LOW,Travel Agencies
M0000114,MID173740665,MERCHANT_00114,5814,AUS,2022-03-27,LOW,Fast Food Restaurants
M0000115,MID313177278,MERCHANT_00115,4829,USA,2022-04-24,LOW,Wire Transfer Money Orders
M0000116,MID491172404,MERCHANT_00116,5999,USA,2022-07-18,LOW,Miscellaneous Retail Stores
M0000117,MID671669929,MERCHANT_00117,5814,ESP,2022-07-14,MEDIUM,Fast Food Restaurants
M0000118,MID416497320,MERCHANT_00118,5812,GBR,2024-12-05,LOW,"Eating Places, Restaurants"
M0000119,MID538522678,MERCHANT_00119,7011,GBR,2023-02-05,LOW,"Hotels, Motels, Resorts"
M0000120,MID988129743,MERCHANT_00120,5732,GBR,2023-10-14,LOW,Electronics Sales
M0000121,MID369873458,MERCHANT_00121,4722,CAN,2021-05-23,LOW,Travel Agencies
M0000122,MID522365559,MERCHANT_00122,5311,USA,2024-09-19,LOW,Department Stores
M0000123,MID320485509,MERCHANT_00123,5812,DEU,2023-11-21,LOW,"Eating Places, Restaurants"
M0000124,MID379035282,MERCHANT_00124,5814,GBR,2022-10-22,MEDIUM,Fast Food Restaurants
M0000125,MID991599410,MERCHANT_00125,5411,CAN,2021-06-30,MEDIUM,"Grocery Stores, Supermarkets"
M0000126,MID663760293,MERCHANT_00126,5814,SGP,2022-04-15,LOW,Fast Food Restaurants
M0000127,MID446415427,MERCHANT_00127,5814,ARE,2024-03-03,LOW,Fast Food Restaurants
M0000128,MID377187749,MERCHANT_00128,5814,DEU,2022-02-07,LOW,Fast Food Restaurants
M0000129,MID339750312,MERCHANT_00129,5732,USA,2021-08-27,LOW,Electronics Sales
M0000130,MID948672458,MERCHANT_00130,4722,GBR,2024-07-18,LOW,Travel Agencies
M0000131,MID721746139,MERCHANT_00131,5732,CAN,2022-02-23,LOW,Electronics Sales
M0000132,MID251131573,MERCHANT_00132,5812,GBR,2022-12-02,LOW,"Eating Places, Restaurants"
M0000133,MID632307176,MERCHANT_00133,6051,DEU,2022-01-01,LOW,Non-Financial Institutions - Currency Dealers
M0000134,MID585856955,MERCHANT_00134,5411,GBR,2023-05-22,MEDIUM,"Grocery Stores, Supermarkets"
M0000135,MID849851940,MERCHANT_00135,5311,ESP,2023-07-30,LOW,Department Stores
M0000136,MID338787001,MERCHANT_00136,5814,GBR,2022-11-21,LOW,Fast Food Restaurants
M0000137,MID655001366,MERCHANT_00137,7994,IND,2021-02-23,LOW,Video Game Arcades
M0000138,MID314623082,MERCHANT_00138,4511,GBR,2021-08-02,LOW,"Airlines, Air Carriers"
M0000139,MID394108428,MERCHANT_00139,5732,BRA,2022-10-16,LOW,Electronics Sales
M0000140,MID574915775,MERCHANT_00140,5094,DEU,2021-02-28,LOW,"Jewelry, Watches, Silverware"
M0000141,MID868189061,MERCHANT_00141,4722,IND,2022-11-20,LOW,Travel Agencies
M0000142,MID787470928,MERCHANT_00142,4511,GBR,2024-10-02,LOW,"Airlines, Air Carriers"
M0000143,MID928487087,MERCHANT_00143,5094,CAN,2021-08-30,LOW,"Jewelry, Watches, Silverware"
M0000144,MID382824301,MERCHANT_00144,5732,DEU,2023-11-16,LOW,Electronics Sales
M0000145,MID109717846,MERCHANT_00145,7994,ESP,2022-11-24,LOW,Video Game Arcades
M0000146,MID185569898,MERCHANT_00146,5999,IND,2021-04-03,LOW,Miscellaneous Retail Stores
M0000147,MID542080011,MERCHANT_00147,6051,GBR,2022-02-19,LOW,Non-Financial Institutions - Currency Dealers
M0000148,MID666396549,MERCHANT_00148,7994,ARE,2022-06-06,LOW,Video Game Arcades
M0000149,MID802215788,MERCHANT_00149,4829,IND,2021-08-13,LOW,Wire Transfer Money Orders
M0000150,MID957038381,MERCHANT_00150,4722,GBR,2022-02-05,LOW,Travel Agencies
M0000151,MID675070347,MERCHANT_00151,5814,ARE,2023-04-19,LOW,Fast Food Restaurants
M0000152,MID868417054,MERCHANT_00152,5411,NGA,2023-04-17,LOW,"Grocery Stores, Supermarkets"
M0000153,MID954356072,MERCHANT_00153,6051,GBR,2022-11-28,MEDIUM,Non-Financial Institutions - Currency Dealers
M0000154,MID492311218,MERCHANT_00154,5411,GBR,2024-06-24,LOW,"Grocery Stores, Supermarkets"
M0000155,MID894658651,MERCHANT_00155,5814,GBR,2022-01-20,LOW,Fast Food Restaurants
M0000156,MID704390950,MERCHANT_00156,5814,IND,2023-06-06,LOW,Fast Food Restaurants
M0000157,MID671656904,MERCHANT_00157,5732,GBR,2023-07-05,LOW,Electronics Sales
M0000158,MID116254745,MERCHANT_00158,5311,SGP,2024-10-05,MEDIUM,Department Stores
M0000159,MID186720693,MERCHANT_00159,6051,GBR,2024-03-13,MEDIUM,Non-Financial Institutions - Currency Dealers
M0000160,MID164673240,MERCHANT_00160,5411,ARE,2024-06-06,LOW,"Grocery Stores, Supermarkets"
M0000161,MID548832717,MERCHANT_00161,7011,AUS,2021-06-20,LOW,"Hotels, Motels, Resorts"
M0000162,MID123272047,MERCHANT_00162,7011,SGP,2022-09-21,LOW,"Hotels, Motels, Resorts"
M0000163,MID239054368,MERCHANT_00163,7994,GBR,2023-11-26,LOW,Video Game Arcades
M0000164,MID589675791,MERCHANT_00164,4511,GBR,2023-01-03,LOW,"Airlines, Air Carriers"
M0000165,MID894745142,MERCHANT_00165,5411,ARE,2021-07-31,MEDIUM,"Grocery Stores, Supermarkets"
M0000166,MID937966093,MERCHANT_00166,5945,GBR,2023-07-11,LOW,"Hobby, Toy, and Game Shops"
M0000167,MID750799784,MERCHANT_00167,5999,GBR,2021-12-29,HIGH,Miscellaneous Retail Stores
M0000168,MID604122732,MERCHANT_00168,6011,GBR,2022-07-07,MEDIUM,Automated Cash Disbursements
M0000169,MID178245125,MERCHANT_00169,7994,USA,2021-12-08,LOW,Video Game Arcades
M0000170,MID686907155,MERCHANT_00170,5814,FRA,2022-07-11,LOW,Fast Food Restaurants
M0000171,MID240687179,MERCHANT_00171,5814,CAN,2021-01-03,LOW,Fast Food Restaurants
M0000172,MID882244679,MERCHANT_00172,5094,GBR,2022-02-24,LOW,"Jewelry, Watches, Silverware"
M0000173,MID701376909,MERCHANT_00173,5814,USA,2023-08-24,LOW,Fast Food Restaurants
M0000174,MID392245740,MERCHANT_00174,5732,DEU,2023-06-24,LOW,Electronics Sales
M0000175,MID883895980,MERCHANT_00175,7994,GBR,2021-10-01,HIGH,Video Game Arcades
M0000176,MID590332595,MERCHANT_00176,7994,GBR,2022-02-23,LOW,Video Game Arcades
M0000177,MID606433678,MERCHANT_00177,5732,GBR,2024-01-17,MEDIUM,Electronics Sales
M0000178,MID203345366,MERCHANT_00178,7011,USA,2021-09-29,LOW,"Hotels, Motels, Resorts"
M0000179,MID875055666,MERCHANT_00179,5732,SGP,2022-12-21,LOW,Electronics Sales
M0000180,MID108960099,MERCHANT_00180,5814,SGP,2021-03-02,LOW,Fast Food Restaurants
M0000181,MID404674741,MERCHANT_00181,5411,FRA,2022-01-05,MEDIUM,"Grocery Stores, Supermarkets"
M0000182,MID335575017,MERCHANT_00182,5732,GBR,2024-07-20,HIGH,Electronics Sales
M0000183,MID293452292,MERCHANT_00183,4829,SGP,2024-08-17,LOW,Wire Transfer Money Orders
M0000184,MID550277351,MERCHANT_00184,5411,AUS,2022-01-16,LOW,"Grocery Stores, Supermarkets"
M0000185,MID951874050,MERCHANT_00185,5411,SGP,2022-10-06,MEDIUM,"Grocery Stores, Supermarkets"
M0000186,MID219150421,MERCHANT_00186,5732,SGP,2024-07-01,LOW,Electronics Sales
M0000187,MID140938151,MERCHANT_00187,5999,USA,2024-02-26,LOW,Miscellaneous Retail Stores
M0000188,MID372319772,MERCHANT_00188,5814,GBR,2023-05-07,LOW,Fast Food Restaurants
M0000189,MID392336437,MERCHANT_00189,5411,IND,2021-01-02,LOW,"Grocery Stores, Supermarkets"
M0000190,MID440868581,MERCHANT_00190,7994,ARE,2023-02-23,LOW,Video Game Arcades
M0000191,MID274331886,MERCHANT_00191,5732,GBR,2021-07-20,LOW,Electronics Sales
M0000192,MID561432464,MERCHANT_00192,5814,IND,2024-09-22,LOW,Fast Food Restaurants
M0000193,MID804566588,MERCHANT_00193,5732,GBR,2022-05-12,LOW,Electronics Sales
M0000194,MID377035848,MERCHANT_00194,5999,USA,2023-03-29,LOW,Miscellaneous Retail Stores
M0000195,MID941892773,MERCHANT_00195,5732,CAN,2023-07-09,LOW,Electronics Sales
M0000196,MID331092457,MERCHANT_00196,7994,GBR,2023-11-24,MEDIUM,Video Game Arcades
M0000197,MID242772211,MERCHANT_00197,7994,ARE,2021-06-30,HIGH,Video Game Arcades
M0000198,MID325800491,MERCHANT_00198,5411,GBR,2023-09-14,LOW,"Grocery Stores, Supermarkets"
M0000199,MID483138474,MERCHANT_00199,5732,USA,2020-12-26,LOW,Electronics Sales
M0000200,MID409790326,MERCHANT_00200,5945,USA,2022-10-06,LOW,"Hobby, Toy, and Game Shops"
M0000201,MID945676967,MERCHANT_00201,4722,GBR,2022-01-07,MEDIUM,Travel Agencies
M0000202,MID454179135,MERCHANT_00202,5732,GBR,2022-04-07,MEDIUM,Electronics Sales
M0000203,MID971965011,MERCHANT_00203,5411,GBR,2024-05-21,LOW,"Grocery Stores, Supermarkets"
M0000204,MID823729655,MERCHANT_00204,4722,AUS,2021-06-14,LOW,Travel Agencies
M0000205,MID581755303,MERCHANT_00205,7994,GBR,2022-06-07,MEDIUM,Video Game Arcades
M0000206,MID559762491,MERCHANT_00206,5945,AUS,2022-01-19,MEDIUM,"Hobby, Toy, and Game Shops"
M0000207,MID234007057,MERCHANT_00207,4829,USA,2022-09-04,LOW,Wire Transfer Money Orders
M0000208,MID280818129,MERCHANT_00208,4511,ARE,2021-11-11,LOW,"Airlines, Air Carriers"
M0000209,MID805070544,MERCHANT_00209,5945,CAN,2023-03-22,LOW,"Hobby, Toy, and Game Shops"
M0000210,MID672248381,MERCHANT_00210,4829,GBR,2021-12-08,MEDIUM,Wire Transfer Money Orders
M0000211,MID398135580,MERCHANT_00211,5311,IND,2021-03-01,LOW,Department Stores
M0000212,MID441426467,MERCHANT_00212,5814,GBR,2024-08-12,LOW,Fast Food Restaurants
M0000213,MID214982039,MERCHANT_00213,4829,GBR,2024-11-15,LOW,Wire Transfer Money Orders
M0000214,MID624429193,MERCHANT_00214,4511,GBR,2023-07-13,HIGH,"Airlines, Air Carriers"
M0000215,MID868381613,MERCHANT_00215,5411,IND,2024-11-03,LOW,"Grocery Stores, Supermarkets"
M0000216,MID936110725,MERCHANT_00216,5812,GBR,2022-09-24,LOW,"Eating Places, Restaurants"
M0000217,MID123099018,MERCHANT_00217,5814,USA,2021-02-26,LOW,Fast Food Restaurants
M0000218,MID647861224,MERCHANT_00218,4511,IND,2023-05-16,LOW,"Airlines, Air Carriers"
M0000219,MID148451785,MERCHANT_00219,4829,FRA,2022-05-24,HIGH,Wire Transfer Money Orders
M0000220,MID572764288,MERCHANT_00220,5945,GBR,2021-09-01,LOW,"Hobby, Toy, and Game Shops"
M0000221,MID425030506,MERCHANT_00221,5812,ARE,2024-09-24,LOW,"Eating Places, Restaurants"
M0000222,MID661844009,MERCHANT_00222,5999,IND,2022-11-21,LOW,Miscellaneous Retail Stores
M0000223,MID294342182,MERCHANT_00223,5999,GBR,2022-08-25,LOW,Miscellaneous Retail Stores
M0000224,MID733332381,MERCHANT_00224,5945,GBR,2024-10-03,LOW,"Hobby, Toy, and Game Shops"
M0000225,MID416609795,MERCHANT_00225,5812,CAN,2021-11-26,MEDIUM,"Eating Places, Restaurants"
M0000226,MID987920412,MERCHANT_00226,5311,CAN,2024-04-26,LOW,Department Stores
M0000227,MID816015647,MERCHANT_00227,7011,GBR,2023-06-16,LOW,"Hotels, Motels, Resorts"
M0000228,MID524906390,MERCHANT_00228,4722,GBR,2021-10-17,LOW,Travel Agencies
M0000229,MID564454134,MERCHANT_00229,5999,GBR,2022-01-30,LOW,Miscellaneous Retail Stores
M0000230,MID922477840,MERCHANT_00230,5814,ESP,2021-07-03,LOW,Fast Food Restaurants
M0000231,MID194655847,MERCHANT_00231,5812,GBR,2022-01-30,LOW,"Eating Places, Restaurants"
M0000232,MID709729535,MERCHANT_00232,5411,USA,2020-12-27,LOW,"Grocery Stores, Supermarkets"
M0000233,MID762146227,MERCHANT_00233,5411,CAN,2023-07-07,LOW,"Grocery Stores, Supermarkets"
M0000234,MID233174319,MERCHANT_00234,5945,GBR,2021-11-25,MEDIUM,"Hobby, Toy, and Game Shops"
M0000235,MID828591421,MERCHANT_00235,4829,CAN,2023-09-21,LOW,Wire Transfer Money Orders
M0000236,MID888985546,MERCHANT_00236,6051,USA,2021-11-19,LOW,Non-Financial Institutions - Currency Dealers
M0000237,MID467195041,MERCHANT_00237,5999,CAN,2021-03-07,LOW,Miscellaneous Retail Stores
M0000238,MID813247602,MERCHANT_00238,4722,AUS,2023-08-15,LOW,Travel Agencies
M0000239,MID146633443,MERCHANT_00239,6051,GBR,2023-05-13,LOW,Non-Financial Institutions - Currency Dealers
M0000240,MID744014108,MERCHANT_00240,4722,GBR,2022-03-24,LOW,Travel Agencies
M0000241,MID582141673,MERCHANT_00241,5094,GBR,2022-03-12,LOW,"Jewelry, Watches, Silverware"
M0000242,MID731148256,MERCHANT_00242,5094,IND,2023-03-02,LOW,"Jewelry, Watches, Silverware"
M0000243,MID272322880,MERCHANT_00243,4829,USA,2024-08-28,HIGH,Wire Transfer Money Orders
M0000244,MID548796603,MERCHANT_00244,5411,FRA,2021-11-09,LOW,"Grocery Stores, Supermarkets"
M0000245,MID187057145,MERCHANT_00245,5814,GBR,2021-12-04,MEDIUM,Fast Food Restaurants
M0000246,MID578139613,MERCHANT_00246,5814,GBR,2024-11-21,LOW,Fast Food Restaurants
M0000247,MID351011686,MERCHANT_00247,5999,IND,2024-10-05,LOW,Miscellaneous Retail Stores
M0000248,MID118240222,MERCHANT_00248,5411,IND,2022-07-11,LOW,"Grocery Stores, Supermarkets"
M0000249,MID753515716,MERCHANT_00249,5732,DEU,2024-11-29,LOW,Electronics Sales
M0000250,MID571364376,MERCHANT_00250,5814,GBR,2023-10-26,LOW,Fast Food Restaurants
M0000251,MID803776087,MERCHANT_00251,4511,GBR,2021-02-26,LOW,"Airlines, Air Carriers"
M0000252,MID254149653,MERCHANT_00252,6051,NGA,2022-07-21,LOW,Non-Financial Institutions - Currency Dealers
M0000253,MID605986960,MERCHANT_00253,4722,USA,2021-05-06,LOW,Travel Agencies
M0000254,MID177149376,MERCHANT_00254,5411,USA,2021-06-04,LOW,"Grocery Stores, Supermarkets"
M0000255,MID554602594,MERCHANT_00255,7994,GBR,2023-11-03,LOW,Video Game Arcades
M0000256,MID759481134,MERCHANT_00256,5411,GBR,2022-06-20,HIGH,"Grocery Stores, Supermarkets"
M0000257,MID648474747,MERCHANT_00257,5732,SGP,2023-09-28,LOW,Electronics Sales
M0000258,MID282084888,MERCHANT_00258,5411,GBR,2022-11-23,LOW,"Grocery Stores, Supermarkets"
M0000259,MID429921519,MERCHANT_00259,4511,FRA,2023-08-20,LOW,"Airlines, Air Carriers"
M0000260,MID977989724,MERCHANT_00260,5814,CAN,2023-09-27,LOW,Fast Food Restaurants
M0000261,MID626103117,MERCHANT_00261,4829,DEU,2022-05-25,LOW,Wire Transfer Money Orders
M0000262,MID546733056,MERCHANT_00262,5411,GBR,2021-04-07,LOW,"Grocery Stores, Supermarkets"
M0000263,MID134321302,MERCHANT_00263,5411,IND,2021-11-15,LOW,"Grocery Stores, Supermarkets"
M0000264,MID782775587,MERCHANT_00264,5812,GBR,2024-08-03,LOW,"Eating Places, Restaurants"
M0000265,MID925534903,MERCHANT_00265,5812,CAN,2023-11-21,LOW,"Eating Places, Restaurants"
