cardholder_id,historical_txn_count,historical_fraud_count,historical_chargebacks,historical_failed_auths,avg_historical_amount,std_historical_amount,p95_historical_amount,usual_online_rate,usual_international_rate,usual_contactless_rate,distinct_merchants_180d,distinct_countries_180d,top_mcc,top_country,days_since_last_historical_txn,historical_fraud_rate,historical_failed_auth_rate,historical_chargeback_rate,distinct_devices_180d,distinct_ip_hashes_180d,distinct_ip_countries_180d,avg_historical_device_risk,avg_historical_ip_risk,risky_ip_event_rate_180d,failed_login_events_180d
CH0000011,34,1,0,0,114.01323529411764,78.41383519393594,249.18749999999997,0.1764705882352941,1.0,0.2352941176470588,34,7,5732,USA,6,0.0294117647058823,0.0,0.0,2,9,8,24.208823529411767,21.34705882352941,0.0,4
CH0000012,31,1,0,0,153.38645161290322,118.14878116308512,398.925,0.2258064516129032,0.7096774193548387,0.2903225806451613,31,9,5411,GBR,9,0.032258064516129,0.0,0.0,2,8,8,24.664516129032258,20.345161290322583,0.0,1
CH0000013,20,0,0,3,148.125,148.53121803708115,502.86300000000006,0.1,0.95,0.4,20,7,5814,GBR,7,0.0,0.15,0.0,1,6,6,25.494999999999997,19.015,0.0,3
CH0000014,32,1,0,0,68.8990625,54.43600150987455,170.19699999999995,0.59375,0.8125,0.40625,32,8,5814,GBR,3,0.03125,0.0,0.0,2,8,7,25.159375,21.709375,0.0,5
CH0000015,26,0,0,1,134.50076923076924,93.81330101528576,296.7825,0.4230769230769231,0.7692307692307693,0.3461538461538461,26,10,5814,GBR,2,0.0,0.0384615384615384,0.0,1,9,9,23.707692307692305,19.111538461538462,0.0,5
CH0000016,25,0,0,1,98.744,50.64708703370808,183.79399999999995,0.2,0.68,0.44,25,8,5814,GBR,9,0.0,0.04,0.0,1,8,8,24.488000000000003,22.664,0.0,6
CH0000017,30,0,0,0,54.72066666666667,47.69824387234553,160.85999999999987,0.1,0.9666666666666668,0.3666666666666666,29,12,5411,GBR,3,0.0,0.0,0.0,1,10,10,24.896666666666665,20.759999999999998,0.0,4
CH0000018,35,0,0,0,34.623999999999995,21.883823759867497,83.047,0.3142857142857143,0.8571428571428571,0.4285714285714285,34,10,5411,GBR,4,0.0,0.0,0.0,1,8,8,23.728571428571428,22.031428571428574,0.0,7
CH0000019,32,0,1,1,88.80875,71.51742782188174,240.793,0.0625,0.84375,0.4375,32,10,5411,USA,1,0.0,0.03125,0.03125,1,10,10,24.49375,22.55625,0.0,4
CH0000020,26,1,1,0,113.48615384615384,107.57446663876787,227.1325,0.3846153846153846,0.8461538461538461,0.5384615384615384,25,8,5999,GBR,8,0.0384615384615384,0.0,0.0384615384615384,2,9,8,25.607692307692307,21.176923076923078,0.0,3
CH0000021,37,1,0,4,95.8616216216216,78.30185028725955,269.3639999999999,0.2162162162162162,1.0,0.3783783783783784,37,9,5411,GBR,0,0.027027027027027,0.1081081081081081,0.0,2,11,10,23.802702702702703,21.5972972972973,0.0,5
CH0000022,27,0,0,0,92.47222222222224,76.92866597516137,254.809,0.1851851851851851,0.9629629629629628,0.3703703703703703,27,8,5814,GBR,0,0.0,0.0,0.0,1,8,8,24.822222222222223,19.48888888888889,0.0,6
CH0000023,34,0,0,3,69.19058823529411,44.30870972189612,146.9485,0.1764705882352941,0.6764705882352942,0.4117647058823529,34,10,5411,GBR,12,0.0,0.088235294117647,0.0,1,9,9,24.01764705882353,22.291176470588233,0.0,5
CH0000024,27,1,0,0,76.30259259259259,64.94807781798252,195.371,0.5555555555555556,0.7777777777777778,0.4444444444444444,27,6,5411,USA,20,0.037037037037037,0.0,0.0,2,7,6,25.88888888888889,21.57777777777778,0.0,3
CH0000025,36,0,0,0,368.6380555555555,259.72113678019514,894.7325,0.1944444444444444,0.8888888888888888,0.3888888888888889,36,8,5814,GBR,5,0.0,0.0,0.0,1,7,7,22.51388888888889,21.24722222222222,0.0,3
CH0000026,36,0,0,2,87.41166666666668,62.2893807734742,222.2075,0.0555555555555555,0.6666666666666666,0.3611111111111111,36,10,5814,GBR,1,0.0,0.0555555555555555,0.0,1,10,10,23.894444444444446,21.016666666666666,0.0,6
CH0000027,28,0,0,0,77.1375,72.96052000022823,249.5905,0.0357142857142857,0.7142857142857143,0.3928571428571428,28,9,5411,USA,4,0.0,0.0,0.0,1,8,8,27.510714285714283,20.478571428571428,0.0,3
CH0000028,42,0,0,2,27.745,27.31512466319445,77.38249999999998,0.5,0.7619047619047619,0.3095238095238095,42,11,5411,GBR,7,0.0,0.0476190476190476,0.0,1,9,9,24.0,20.238095238095237,0.0,9
CH0000029,29,0,0,1,68.4503448275862,65.63542752435927,217.40199999999965,0.2758620689655172,0.7586206896551724,0.3103448275862069,29,11,5814,GBR,10,0.0,0.0344827586206896,0.0,1,10,10,23.93793103448276,22.727586206896554,0.0,2
CH0000030,31,0,0,1,58.0916129032258,48.51510267238263,138.345,0.0967741935483871,0.967741935483871,0.4193548387096774,31,10,5814,GBR,13,0.0,0.032258064516129,0.0,1,8,8,25.574193548387097,21.34193548387097,0.0,4
CH0000031,34,0,1,3,55.71676470588236,37.75612418480094,113.65599999999992,0.2941176470588235,1.0,0.2941176470588235,34,8,5814,GBR,1,0.0,0.088235294117647,0.0294117647058823,1,8,8,24.647058823529413,22.294117647058822,0.0,4
CH0000032,23,0,0,1,169.43130434782609,118.54422164148272,393.2729999999999,0.3478260869565217,0.9130434782608696,0.3043478260869565,21,10,5094,USA,3,0.0,0.0434782608695652,0.0,1,10,10,26.02173913043478,21.269565217391303,0.0,5
CH0000033,28,0,1,0,77.84678571428572,49.54429862580306,149.42499999999998,0.2142857142857142,0.75,0.3571428571428571,28,10,4829,GBR,21,0.0,0.0,0.0357142857142857,1,10,10,23.075,21.192857142857143,0.0,2
CH0000034,35,0,0,1,21.272,11.572597654398436,42.19199999999999,0.5142857142857142,0.9142857142857144,0.2285714285714285,34,12,5411,GBR,1,0.0,0.0285714285714285,0.0,1,11,11,23.994285714285713,21.482857142857142,0.0,7
CH0000035,40,0,0,0,132.94725,116.9775510347594,299.0274999999999,0.325,0.95,0.35,40,11,5814,GBR,0,0.0,0.0,0.0,1,10,10,23.695,21.18,0.0,2
CH0000036,26,0,0,2,23.11076923076923,16.057337244531404,48.32,0.3076923076923077,1.0,0.4615384615384615,26,9,5411,GBR,5,0.0,0.0769230769230769,0.0,1,10,10,26.215384615384615,19.915384615384614,0.0,9
CH0000037,20,0,0,1,174.8695,117.52357275188848,355.7675000000001,0.3,0.7,0.65,20,9,5999,GBR,24,0.0,0.05,0.0,1,9,9,25.085,21.07,0.0,5
CH0000038,40,0,0,2,57.919500000000006,47.296311882559166,148.76549999999992,0.3,0.8,0.4,40,11,5411,USA,9,0.0,0.05,0.0,1,11,11,24.7725,20.1725,0.0,4
CH0000039,50,0,1,1,89.4756,65.10784858672444,250.6415,0.14,0.92,0.32,50,11,5411,GBR,2,0.0,0.02,0.02,1,11,11,26.15,22.022,0.0,8
CH0000040,24,1,1,1,95.49166666666667,90.38794781465576,161.00799999999998,0.5416666666666666,0.9583333333333334,0.375,24,8,5814,GBR,2,0.0416666666666666,0.0416666666666666,0.0416666666666666,2,8,7,24.666666666666668,22.308333333333334,0.0,3
CH0000041,29,0,0,2,78.2706896551724,56.78904402202911,192.93999999999977,0.8275862068965517,0.7241379310344828,0.3793103448275862,29,8,5411,USA,1,0.0,0.0689655172413793,0.0,1,7,7,24.979310344827585,19.979310344827585,0.0,4
CH0000042,37,0,0,3,126.09486486486487,90.41313672438504,285.9059999999998,0.2972972972972973,0.5675675675675675,0.2432432432432432,37,9,5999,GBR,3,0.0,0.081081081081081,0.0,1,9,9,25.15945945945946,23.264864864864865,0.0,6
CH0000043,35,1,1,1,87.438,62.48596881559515,196.17999999999984,0.3428571428571428,0.8,0.4571428571428571,35,11,5814,GBR,1,0.0285714285714285,0.0285714285714285,0.0285714285714285,2,11,10,26.325714285714284,20.954285714285714,0.0,4
CH0000044,27,0,0,2,426.1725925925926,368.8352362880143,1078.437,0.4074074074074074,0.9629629629629628,0.3333333333333333,27,9,5999,GBR,5,0.0,0.074074074074074,0.0,1,9,9,27.044444444444448,21.703703703703702,0.0,9
CH0000045,25,0,0,3,113.7032,98.1312151203683,324.8439999999996,0.36,0.96,0.32,25,9,5999,GBR,3,0.0,0.12,0.0,1,8,8,24.608,22.048000000000002,0.0,3
CH0000046,36,2,1,3,109.36166666666666,85.56820636194263,244.255,0.1666666666666666,0.9722222222222222,0.3611111111111111,35,10,5411,GBR,6,0.0555555555555555,0.0833333333333333,0.0277777777777777,3,10,8,25.12777777777778,21.049999999999997,0.0,2
CH0000047,26,0,0,1,42.879230769230766,46.10101343121011,98.5975,0.2307692307692307,0.9615384615384616,0.3846153846153846,26,9,5999,GBR,8,0.0,0.0384615384615384,0.0,1,7,7,24.015384615384615,21.746153846153845,0.0,3
CH0000048,36,0,0,2,129.83888888888887,118.9031969719853,331.77,0.0277777777777777,0.9444444444444444,0.3611111111111111,36,10,4511,GBR,3,0.0,0.0555555555555555,0.0,1,7,7,25.799999999999997,21.316666666666666,0.0,2
CH0000049,22,0,0,0,41.63590909090909,26.124976128326463,81.74799999999999,0.5909090909090909,0.7272727272727273,0.4090909090909091,22,9,5814,GBR,4,0.0,0.0,0.0,1,8,8,24.163636363636364,21.581818181818182,0.0,2
CH0000050,35,0,0,2,250.084,230.41276963949107,648.9879999999991,0.2,0.7428571428571429,0.4,35,10,5999,GBR,5,0.0,0.0571428571428571,0.0,1,10,10,24.01142857142857,21.545714285714286,0.0,6
CH0000051,36,1,0,2,26.79555555555556,23.32430521941123,76.3925,0.4722222222222222,0.8888888888888888,0.4444444444444444,36,11,5411,GBR,6,0.0277777777777777,0.0555555555555555,0.0,2,11,10,25.555555555555557,20.27777777777778,0.0,8
CH0000052,26,0,0,0,39.36846153846154,23.360051145887105,89.6625,0.1923076923076923,0.7692307692307693,0.3076923076923077,26,6,5411,GBR,2,0.0,0.0,0.0,1,5,5,23.826923076923077,19.407692307692308,0.0,4
CH0000053,42,0,1,1,21.015,15.121601291191224,48.49649999999999,0.1904761904761904,0.7857142857142857,0.2857142857142857,42,11,5814,GBR,9,0.0,0.0238095238095238,0.0238095238095238,1,11,11,25.504761904761907,21.021428571428572,0.0,10
CH0000054,31,0,0,3,151.57806451612905,123.03025065458098,388.4,0.3870967741935484,0.6774193548387096,0.5483870967741935,31,8,4829,GBR,6,0.0,0.0967741935483871,0.0,1,6,6,24.116129032258065,22.44193548387097,0.0,7
CH0000055,30,0,0,2,48.128,31.334441379283028,114.09199999999991,0.3333333333333333,0.8666666666666667,0.1333333333333333,28,8,4722,GBR,3,0.0,0.0666666666666666,0.0,1,6,6,25.32333333333333,23.406666666666663,0.0,4
CH0000056,35,0,0,1,156.29771428571428,107.47574648662432,354.0499999999997,0.2857142857142857,0.9428571428571428,0.3428571428571428,35,9,5945,GBR,4,0.0,0.0285714285714285,0.0,1,8,8,26.57714285714286,21.191428571428574,0.0,3
CH0000057,29,0,0,0,44.16896551724138,34.44713323597974,102.742,0.3448275862068966,0.4482758620689655,0.5172413793103449,29,6,5411,GBR,9,0.0,0.0,0.0,1,4,4,24.151724137931033,21.76551724137931,0.0,5
CH0000058,37,0,0,2,168.1054054054054,199.3050144821944,511.8779999999994,0.2162162162162162,0.972972972972973,0.3243243243243243,37,9,5411,GBR,0,0.0,0.054054054054054,0.0,1,9,9,25.054054054054053,19.043243243243243,0.0,6
CH0000059,22,0,0,0,133.00681818181818,89.89036912162787,307.102,0.0454545454545454,0.7272727272727273,0.2727272727272727,22,11,5814,GBR,23,0.0,0.0,0.0,1,8,8,24.077272727272728,20.786363636363635,0.0,0
CH0000060,25,0,0,1,112.7868,74.90420547383614,194.522,0.28,0.72,0.48,25,9,5814,GBR,4,0.0,0.04,0.0,1,9,9,25.144000000000002,20.596,0.0,2
CH0000061,37,0,0,1,76.62027027027027,49.66659348353035,155.2839999999999,0.2162162162162162,0.7027027027027027,0.3243243243243243,37,11,5814,GBR,5,0.0,0.027027027027027,0.0,1,11,11,24.74054054054054,21.92972972972973,0.0,7
CH0000062,33,0,0,1,85.38454545454546,66.32006135452667,218.692,0.1818181818181818,0.7878787878787878,0.4848484848484848,33,9,5411,GBR,5,0.0,0.0303030303030303,0.0,1,9,9,24.57272727272727,18.857575757575756,0.0,4
CH0000063,27,2,2,2,40.97296296296296,36.89967144056505,121.34599999999996,0.2592592592592592,0.6666666666666666,0.4814814814814814,27,10,5411,GBR,4,0.074074074074074,0.074074074074074,0.074074074074074,3,10,9,26.674074074074074,22.15555555555556,0.0,6
CH0000064,24,2,1,0,43.119166666666665,41.460052005742114,124.98299999999998,0.2916666666666667,0.9583333333333334,0.4166666666666667,23,7,5411,GBR,1,0.0833333333333333,0.0,0.0416666666666666,3,8,7,24.816666666666666,22.791666666666668,0.0,4
CH0000065,31,0,0,4,124.02548387096776,120.98638774227756,348.095,0.1612903225806451,1.0,0.2258064516129032,31,6,5999,GBR,0,0.0,0.1290322580645161,0.0,1,7,7,26.387096774193548,20.903225806451612,0.0,6
CH0000066,20,0,0,2,65.0755,26.98325591430437,110.07250000000002,0.65,0.9,0.4,20,7,5999,GBR,3,0.0,0.1,0.0,1,6,6,24.81,20.145,0.0,4
CH0000067,37,0,0,0,131.26027027027027,93.35254782830532,305.2039999999997,0.4324324324324324,0.945945945945946,0.4054054054054054,37,10,5999,GBR,14,0.0,0.0,0.0,1,10,10,24.87027027027027,19.7972972972973,0.0,6
CH0000068,16,0,0,0,206.853125,114.12052375851007,363.245,0.5,0.9375,0.1875,16,7,5999,IND,10,0.0,0.0,0.0,1,7,7,23.21875,22.33125,0.0,2
CH0000069,29,0,0,1,68.35586206896552,63.76629413710896,160.49599999999998,0.2758620689655172,0.896551724137931,0.4137931034482758,29,9,5812,GBR,10,0.0,0.0344827586206896,0.0,1,8,8,24.43103448275862,22.555172413793105,0.0,7
CH0000070,39,0,0,1,60.32051282051282,58.848625076668576,94.54900000000008,0.3333333333333333,0.6923076923076923,0.4102564102564102,39,10,5732,GBR,7,0.0,0.0256410256410256,0.0,1,7,7,25.164102564102564,22.72051282051282,0.0,3
CH0000071,25,0,0,2,52.0216,24.16719258278324,96.09599999999996,0.2,0.68,0.36,25,7,5732,USA,4,0.0,0.08,0.0,1,7,7,27.44,20.951999999999998,0.0,4
CH0000072,31,0,0,0,103.51096774193547,72.8982453540476,237.98,0.3548387096774194,0.8387096774193549,0.4193548387096774,30,11,5411,USA,1,0.0,0.0,0.0,1,8,8,25.006451612903227,20.625806451612902,0.0,3
CH0000073,32,1,0,1,116.2525,86.64160339415285,288.0835,0.375,0.875,0.40625,32,8,5814,GBR,6,0.03125,0.03125,0.0,2,8,7,25.9625,22.003125,0.0,3
CH0000074,30,0,2,0,93.656,84.53313378543473,276.84049999999974,0.5,0.8666666666666667,0.5333333333333333,30,9,5411,GBR,5,0.0,0.0,0.0666666666666666,1,8,8,24.896666666666665,21.64,0.0,1
CH0000075,24,0,0,0,592.61375,475.6340768939053,1331.8044999999995,0.2083333333333333,0.8333333333333334,0.2916666666666667,24,9,5999,USA,1,0.0,0.0,0.0,1,8,8,24.133333333333336,20.945833333333333,0.0,3
CH0000076,43,0,0,2,112.45906976744186,71.61905033259401,260.33,0.5813953488372093,0.7441860465116279,0.3488372093023256,43,10,5411,GBR,2,0.0,0.0465116279069767,0.0,1,10,10,25.42325581395349,21.26279069767442,0.0,8
CH0000077,32,0,0,1,169.954375,121.96481094674066,399.0865,0.125,0.75,0.5,32,10,5411,GBR,6,0.0,0.03125,0.0,1,10,10,25.39375,21.3625,0.0,5
CH0000078,38,0,0,2,103.10684210526315,110.23446971833494,219.6785,0.4736842105263157,0.6842105263157895,0.4473684210526316,38,9,5814,GBR,5,0.0,0.0526315789473684,0.0,1,9,9,25.897368421052633,21.150000000000002,0.0,8
CH0000079,40,0,0,4,215.3395,156.4423332921669,541.4874999999997,0.275,0.6,0.375,39,10,5411,GBR,1,0.0,0.1,0.0,1,8,8,24.865000000000002,19.7875,0.0,6
CH0000080,26,2,1,2,78.15961538461539,69.47827738110779,213.545,0.3076923076923077,1.0,0.3461538461538461,26,9,5814,USA,8,0.0769230769230769,0.0769230769230769,0.0384615384615384,3,9,7,23.700000000000003,22.911538461538463,0.0,5
CH0000081,23,0,0,0,51.70434782608696,41.41269127234998,116.60399999999998,0.0869565217391304,0.8695652173913043,0.3478260869565217,22,7,5411,GBR,11,0.0,0.0,0.0,1,6,6,25.691304347826087,19.604347826086954,0.0,5
CH0000082,32,0,1,2,146.0375,117.19689701936544,350.277,0.5625,0.875,0.28125,31,10,5814,USA,4,0.0,0.0625,0.03125,1,9,9,24.184375,20.928125,0.0,10
CH0000083,30,0,0,1,70.50233333333334,47.93791355948631,133.301,0.5666666666666667,0.8666666666666667,0.3,30,9,5411,GBR,19,0.0,0.0333333333333333,0.0,1,9,9,25.029999999999998,20.33,0.0,5
CH0000084,30,0,0,1,101.751,58.77568335747302,210.4135,0.4,0.8333333333333334,0.4666666666666667,30,8,4722,GBR,10,0.0,0.0333333333333333,0.0,1,8,8,25.736666666666668,22.043333333333333,0.0,2
CH0000085,29,1,2,0,176.3503448275862,98.00155120794038,353.226,0.5172413793103449,0.6896551724137931,0.3793103448275862,29,8,5812,GBR,6,0.0344827586206896,0.0,0.0689655172413793,2,8,7,26.04137931034483,22.56206896551724,0.0,6
CH0000086,29,2,1,1,100.53379310344828,66.66701435459417,217.434,0.1379310344827586,0.5172413793103449,0.3793103448275862,29,9,4722,GBR,1,0.0689655172413793,0.0344827586206896,0.0344827586206896,3,10,9,26.186206896551724,21.637931034482758,0.0,3
CH0000087,36,0,0,2,98.65333333333334,88.19675578743568,231.3775,0.5833333333333334,0.6111111111111112,0.3611111111111111,36,8,4511,GBR,3,0.0,0.0555555555555555,0.0,1,7,7,26.11388888888889,22.294444444444444,0.0,3
CH0000088,29,0,0,2,54.034137931034486,37.250621041538295,113.28,0.0689655172413793,0.6206896551724138,0.4482758620689655,29,10,5999,GBR,19,0.0,0.0689655172413793,0.0,1,10,10,26.951724137931034,21.25862068965517,0.0,4
CH0000089,31,0,0,1,230.75064516129035,164.1191043101622,543.5699999999999,0.1612903225806451,0.6451612903225806,0.3548387096774194,31,8,5812,GBR,3,0.0,0.032258064516129,0.0,1,8,8,25.580645161290324,22.293548387096774,0.0,5
CH0000090,38,0,0,0,64.54763157894736,56.39137040719208,158.7665,0.3421052631578947,0.9473684210526316,0.3684210526315789,38,8,5411,USA,4,0.0,0.0,0.0,1,7,7,24.718421052631577,21.397368421052633,0.0,3
CH0000091,34,1,1,1,80.97264705882354,54.78513060315719,168.85199999999995,0.3235294117647059,0.7647058823529411,0.4411764705882353,34,11,5814,USA,8,0.0294117647058823,0.0294117647058823,0.0294117647058823,2,10,9,24.791176470588233,22.685294117647057,0.0,6
CH0000092,31,0,0,1,93.38129032258064,78.02679401940232,200.995,0.4516129032258064,0.8709677419354839,0.3548387096774194,31,8,5411,USA,1,0.0,0.032258064516129,0.0,1,8,8,25.651612903225807,21.77741935483871,0.0,6
CH0000093,27,0,0,1,87.29148148148148,50.4975940556885,171.939,0.1481481481481481,0.7777777777777778,0.3333333333333333,27,10,5411,USA,0,0.0,0.037037037037037,0.0,1,8,8,24.803703703703704,18.381481481481483,0.0,4
CH0000094,39,0,0,1,178.43410256410257,142.153540132491,494.5700000000001,0.1282051282051282,0.717948717948718,0.358974358974359,37,10,5999,GBR,0,0.0,0.0256410256410256,0.0,1,9,9,26.312820512820515,22.725641025641025,0.0,6
CH0000095,31,0,0,1,96.86967741935484,64.0706045174057,209.565,0.3225806451612903,0.6451612903225806,0.2258064516129032,31,9,5411,GBR,10,0.0,0.032258064516129,0.0,1,9,9,25.461290322580645,21.796774193548387,0.0,3
CH0000096,31,0,0,2,248.27,205.345591722832,692.3699999999999,0.3548387096774194,0.5483870967741935,0.2903225806451613,30,7,5411,GBR,3,0.0,0.064516129032258,0.0,1,7,7,24.916129032258063,20.916129032258063,0.0,6
CH0000097,33,1,0,2,98.0160606060606,74.68369341510376,234.0159999999999,0.1818181818181818,0.7272727272727273,0.3939393939393939,31,11,5411,GBR,12,0.0303030303030303,0.0606060606060606,0.0,2,10,10,25.796969696969697,22.22121212121212,0.0,4
CH0000098,31,0,0,1,117.84709677419356,73.6596285714931,211.145,0.5161290322580645,0.967741935483871,0.5483870967741935,31,7,5411,GBR,9,0.0,0.032258064516129,0.0,1,6,6,24.55483870967742,19.370967741935484,0.0,5
CH0000099,33,1,1,0,75.9269696969697,43.09984342234091,150.726,0.2121212121212121,0.8181818181818182,0.2424242424242424,33,9,5732,USA,1,0.0303030303030303,0.0,0.0303030303030303,2,10,10,24.736363636363635,20.015151515151516,0.0,8
CH0000100,31,0,0,0,549.4222580645161,364.7753127585042,1262.625,0.4193548387096774,0.6129032258064516,0.3548387096774194,31,8,5732,GBR,0,0.0,0.0,0.0,1,8,8,25.638709677419353,19.929032258064513,0.0,4
CH0000101,30,0,0,0,58.29733333333333,53.4654445241122,113.89799999999995,0.6333333333333333,0.8333333333333334,0.3,30,10,5411,GBR,13,0.0,0.0,0.0,1,10,10,25.87,22.516666666666666,0.0,4
CH0000102,28,0,0,1,65.61357142857143,49.8888591596758,163.06199999999998,0.5357142857142857,0.6071428571428571,0.3928571428571428,28,5,5814,GBR,2,0.0,0.0357142857142857,0.0,1,5,5,24.05,20.20357142857143,0.0,3
CH0000103,28,0,0,0,78.47749999999999,89.44687687341245,157.49599999999992,0.5,0.75,0.4642857142857143,28,9,5732,USA,0,0.0,0.0,0.0,1,8,8,24.485714285714288,21.717857142857145,0.0,9
CH0000104,36,0,0,0,68.42916666666666,55.36957970247355,203.3475,0.1666666666666666,0.8611111111111112,0.4444444444444444,36,8,5999,GBR,6,0.0,0.0,0.0,1,8,8,25.625,21.333333333333332,0.0,8
CH0000105,24,1,1,1,117.86791666666666,143.45607432482043,348.7899999999999,0.2083333333333333,1.0,0.5416666666666666,24,7,5411,USA,0,0.0416666666666666,0.0416666666666666,0.0416666666666666,2,9,8,25.349999999999998,21.158333333333335,0.0,2
CH0000106,30,0,0,2,240.90566666666663,202.9554485286642,384.257,0.2333333333333333,0.8666666666666667,0.4,30,9,5732,GBR,13,0.0,0.0666666666666666,0.0,1,8,8,25.64333333333333,22.05,0.0,5
CH0000107,32,1,0,3,110.24125,127.3297092704732,332.2604999999998,0.71875,0.96875,0.46875,31,10,5411,GBR,5,0.03125,0.09375,0.0,2,11,10,24.2,21.009375,0.0,4
CH0000108,28,0,0,1,74.25357142857142,43.48456484047045,160.0595,0.3928571428571428,0.6428571428571429,0.1785714285714285,27,9,5945,GBR,2,0.0,0.0357142857142857,0.0,1,8,8,24.696428571428573,20.585714285714285,0.0,7
CH0000109,34,0,0,0,62.37294117647058,39.05541110450496,146.67700000000002,0.2058823529411764,0.7941176470588235,0.5,34,11,5411,GBR,8,0.0,0.0,0.0,1,10,10,24.826470588235296,19.78529411764706,0.0,3
CH0000110,29,0,0,4,64.35689655172413,49.54234704511804,137.884,0.1724137931034483,0.7586206896551724,0.2758620689655172,29,7,5411,USA,0,0.0,0.1379310344827586,0.0,1,6,6,25.71034482758621,21.02758620689655,0.0,6
CH0000111,35,0,1,3,106.89457142857142,86.63477003194153,268.6089999999996,0.5714285714285714,0.9428571428571428,0.4571428571428571,34,10,5814,GBR,31,0.0,0.0857142857142857,0.0285714285714285,1,6,6,25.417142857142856,22.062857142857144,0.0,2
CH0000112,34,1,0,2,88.08441176470588,69.82899559209676,220.7095,0.1764705882352941,0.7941176470588235,0.3529411764705882,34,11,5411,USA,11,0.0294117647058823,0.0588235294117647,0.0,2,11,10,25.15294117647059,21.591176470588238,0.0,3
CH0000113,33,1,0,0,240.4290909090909,207.7627656932847,690.284,0.3636363636363636,0.8787878787878788,0.3939393939393939,33,9,5411,GBR,2,0.0303030303030303,0.0,0.0,2,8,8,24.12121212121212,22.92727272727273,0.0,4
CH0000114,17,0,0,1,61.61117647058824,62.03091465978406,193.848,0.5882352941176471,0.5882352941176471,0.2941176470588235,16,6,5411,GBR,15,0.0,0.0588235294117647,0.0,1,5,5,25.294117647058822,18.658823529411762,0.0,1
CH0000115,41,1,2,0,282.1117073170732,332.0377687093928,611.33,0.2682926829268293,0.951219512195122,0.3170731707317073,40,10,5814,GBR,3,0.024390243902439,0.0,0.048780487804878,2,9,9,24.851219512195122,20.370731707317074,0.0,12
CH0000116,32,0,0,1,63.591875,49.99133611630668,134.68099999999998,0.40625,0.78125,0.34375,30,9,5814,USA,9,0.0,0.03125,0.0,1,7,7,24.815625,20.615625,0.0,1
